Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 2; Census Tract 1200.10; Los Angeles County; California!!Estimate";1.038;122;17;0;136;0;615;148;131;17
"Block Group 2; Census Tract 1200.10; Los Angeles County; California!!Margin of Error";±303;±55;±18;±13;±86;±13;±282;±100;±98;±21
"Block Group 1; Census Tract 1200.20; Los Angeles County; California!!Estimate";2.595;524;196;0;190;0;1.541;144;137;7
"Block Group 1; Census Tract 1200.20; Los Angeles County; California!!Margin of Error";±509;±342;±195;±13;±170;±13;±474;±129;±128;±17
"Block Group 2; Census Tract 1200.20; Los Angeles County; California!!Estimate";1.764;97;107;11;554;31;925;39;13;26
"Block Group 2; Census Tract 1200.20; Los Angeles County; California!!Margin of Error";±580;±145;±167;±19;±256;±47;±521;±48;±22;±42
"Block Group 1; Census Tract 1200.30; Los Angeles County; California!!Estimate";2.614;331;11;13;130;0;2.118;11;9;2
"Block Group 1; Census Tract 1200.30; Los Angeles County; California!!Margin of Error";±327;±205;±18;±20;±105;±13;±351;±14;±12;±5
"Block Group 1; Census Tract 1201.03; Los Angeles County; California!!Estimate";839;13;4;0;117;0;705;0;0;0
"Block Group 1; Census Tract 1201.03; Los Angeles County; California!!Margin of Error";±262;±13;±8;±13;±99;±13;±287;±13;±13;±13
"Block Group 2; Census Tract 1201.03; Los Angeles County; California!!Estimate";2.191;264;63;72;0;0;1.580;212;146;66
"Block Group 2; Census Tract 1201.03; Los Angeles County; California!!Margin of Error";±371;±140;±74;±105;±13;±13;±349;±133;±135;±94
"Block Group 1; Census Tract 1201.04; Los Angeles County; California!!Estimate";2.375;315;184;22;354;0;1.315;185;98;87
"Block Group 1; Census Tract 1201.04; Los Angeles County; California!!Margin of Error";±386;±104;±106;±33;±136;±13;±392;±134;±90;±74
"Block Group 1; Census Tract 1201.05; Los Angeles County; California!!Estimate";1.717;291;34;11;29;0;1.011;341;341;0
"Block Group 1; Census Tract 1201.05; Los Angeles County; California!!Margin of Error";±336;±159;±40;±15;±36;±13;±250;±260;±260;±13
"Block Group 2; Census Tract 1201.05; Los Angeles County; California!!Estimate";974;223;0;25;346;0;355;25;25;0
"Block Group 2; Census Tract 1201.05; Los Angeles County; California!!Margin of Error";±223;±147;±13;±35;±110;±13;±206;±21;±21;±13
"Block Group 1; Census Tract 1201.06; Los Angeles County; California!!Estimate";1.054;145;31;0;293;0;536;49;49;0
"Block Group 1; Census Tract 1201.06; Los Angeles County; California!!Margin of Error";±402;±198;±46;±13;±248;±13;±256;±62;±62;±13
"Block Group 2; Census Tract 1201.06; Los Angeles County; California!!Estimate";1.387;89;3;0;377;2;747;169;169;0
"Block Group 2; Census Tract 1201.06; Los Angeles County; California!!Margin of Error";±441;±80;±5;±13;±185;±5;±296;±241;±241;±13
"Block Group 3; Census Tract 1201.06; Los Angeles County; California!!Estimate";2.002;62;6;0;284;0;1.556;94;70;24
"Block Group 3; Census Tract 1201.06; Los Angeles County; California!!Margin of Error";±650;±19;±9;±13;±191;±13;±604;±124;±116;±34
"Block Group 1; Census Tract 1201.07; Los Angeles County; California!!Estimate";1.856;154;62;0;21;13;1.606;0;0;0
"Block Group 1; Census Tract 1201.07; Los Angeles County; California!!Margin of Error";±407;±93;±66;±13;±33;±22;±402;±13;±13;±13
"Block Group 2; Census Tract 1201.07; Los Angeles County; California!!Estimate";2.188;276;149;0;300;4;1.039;420;390;30
"Block Group 2; Census Tract 1201.07; Los Angeles County; California!!Margin of Error";±687;±140;±157;±13;±146;±8;±368;±594;±592;±30
"Block Group 1; Census Tract 1201.08; Los Angeles County; California!!Estimate";2.121;517;30;57;80;0;1.391;46;38;8
"Block Group 1; Census Tract 1201.08; Los Angeles County; California!!Margin of Error";±441;±165;±44;±89;±74;±13;±388;±50;±48;±12
"Block Group 2; Census Tract 1201.08; Los Angeles County; California!!Estimate";2.390;432;0;0;336;0;1.326;296;291;5
"Block Group 2; Census Tract 1201.08; Los Angeles County; California!!Margin of Error";±502;±226;±13;±13;±249;±13;±441;±299;±299;±9
"Block Group 1; Census Tract 1203; Los Angeles County; California!!Estimate";794;399;0;0;174;0;137;84;66;18
"Block Group 1; Census Tract 1203; Los Angeles County; California!!Margin of Error";±272;±264;±13;±13;±136;±13;±146;±92;±87;±30
"Block Group 2; Census Tract 1203; Los Angeles County; California!!Estimate";1.794;344;0;0;311;0;1.043;96;96;0
"Block Group 2; Census Tract 1203; Los Angeles County; California!!Margin of Error";±670;±385;±13;±13;±251;±13;±524;±147;±147;±13
"Block Group 3; Census Tract 1203; Los Angeles County; California!!Estimate";885;427;0;0;151;0;235;72;72;0
"Block Group 3; Census Tract 1203; Los Angeles County; California!!Margin of Error";±294;±232;±13;±13;±113;±13;±212;±79;±79;±13
"Block Group 4; Census Tract 1203; Los Angeles County; California!!Estimate";1.826;234;255;0;698;0;502;137;0;137
"Block Group 4; Census Tract 1203; Los Angeles County; California!!Margin of Error";±648;±170;±407;±13;±361;±13;±293;±136;±13;±136
"Block Group 1; Census Tract 1204; Los Angeles County; California!!Estimate";2.979;1.230;335;55;633;0;542;184;82;102
"Block Group 1; Census Tract 1204; Los Angeles County; California!!Margin of Error";±657;±465;±222;±89;±288;±13;±436;±167;±96;±136
"Block Group 2; Census Tract 1204; Los Angeles County; California!!Estimate";1.796;651;29;0;174;0;834;108;108;0
"Block Group 2; Census Tract 1204; Los Angeles County; California!!Margin of Error";±738;±508;±44;±13;±194;±13;±472;±119;±119;±13
"Block Group 3; Census Tract 1204; Los Angeles County; California!!Estimate";1.395;255;0;0;189;0;765;186;186;0
"Block Group 3; Census Tract 1204; Los Angeles County; California!!Margin of Error";±550;±203;±13;±13;±200;±13;±457;±210;±210;±13
"Block Group 1; Census Tract 1210.10; Los Angeles County; California!!Estimate";988;918;0;48;22;0;0;0;0;0
"Block Group 1; Census Tract 1210.10; Los Angeles County; California!!Margin of Error";±459;±479;±13;±72;±34;±13;±13;±13;±13;±13
"Block Group 2; Census Tract 1210.10; Los Angeles County; California!!Estimate";1.465;729;1;0;200;0;292;243;201;42
"Block Group 2; Census Tract 1210.10; Los Angeles County; California!!Margin of Error";±665;±442;±4;±13;±155;±13;±314;±302;±286;±64
"Block Group 3; Census Tract 1210.10; Los Angeles County; California!!Estimate";641;328;0;0;92;0;210;11;11;0
"Block Group 3; Census Tract 1210.10; Los Angeles County; California!!Margin of Error";±240;±227;±13;±13;±82;±13;±155;±17;±17;±13
"Block Group 4; Census Tract 1210.10; Los Angeles County; California!!Estimate";2.183;374;0;0;56;0;1.229;524;524;0
"Block Group 4; Census Tract 1210.10; Los Angeles County; California!!Margin of Error";±695;±326;±13;±13;±89;±13;±708;±416;±416;±13
"Block Group 1; Census Tract 1210.20; Los Angeles County; California!!Estimate";2.152;1.073;71;0;185;0;494;329;286;43
"Block Group 1; Census Tract 1210.20; Los Angeles County; California!!Margin of Error";±458;±329;±61;±13;±123;±13;±257;±336;±343;±52
"Block Group 2; Census Tract 1210.20; Los Angeles County; California!!Estimate";1.509;499;23;47;33;0;465;442;350;92
"Block Group 2; Census Tract 1210.20; Los Angeles County; California!!Margin of Error";±459;±210;±26;±72;±33;±13;±224;±405;±368;±75
"Block Group 1; Census Tract 1211.01; Los Angeles County; California!!Estimate";1.446;433;0;0;103;0;310;600;587;13
"Block Group 1; Census Tract 1211.01; Los Angeles County; California!!Margin of Error";±427;±182;±13;±13;±86;±13;±170;±401;±401;±14
"Block Group 2; Census Tract 1211.01; Los Angeles County; California!!Estimate";1.745;795;55;28;116;0;422;329;301;28
